major_id,major_name,soc_codes,occupation_titles
geology-and-earth-sciences,Geology & Earth Sciences,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
mathematics-and-statistics,Mathematics & Statistics,15-2021.00 / 15-2041.00,Mathematicians + Statisticians
psychology,Psychology,19-3033.00,Clinical and Counseling Psychologists
political-science,Political Science,19-3094.00,Political Scientists
sociology,Sociology,19-3041.00,Sociologists
economics,Economics,19-3011.00,Economists
anthropology,Anthropology,19-3091.00,Anthropologists and Archeologists
international-relations,International Relations,19-3094.00,Political Scientists
criminology,Criminology,21-1092.00,Probation Officers and Correctional Treatment Specialists
english-language-and-literature,English Language & Literature,27-3043.00 / 27-3041.00,Writers and Authors + Editors
history,History,19-3093.00,Historians
foreign-languages-and-linguistics,Foreign Languages & Linguistics,27-3091.00,Interpreters and Translators
philosophy-and-religious-studies,Philosophy & Religious Studies,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
communication-studies,Communication Studies,27-3031.00,Public Relations Specialists
journalism,Journalism,27-3023.00,"News Analysts, Reporters, and Journalists"
public-relations-and-advertising,Public Relations & Advertising,27-3031.00 / 11-2011.00,Public Relations Specialists + Advertising and Promotions Managers
film-and-media-production,Film & Media Production,27-2012.00 / 27-4032.00,Producers and Directors + Film and Video Editors
graphic-and-digital-design,Graphic & Digital Design,27-1024.00,Graphic Designers
studio-art-and-fine-arts,Studio Art & Fine Arts,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
music-performance,Music Performance,27-2042.00,Musicians and Singers
theater-and-drama,Theater & Drama,27-2011.00,Actors
film-studies,Film Studies,27-4032.00,Film and Video Editors
photography,Photography,27-4021.00,Photographers
fashion-design,Fashion Design,27-1022.00,Fashion Designers
elementary-education,Elementary Education,25-2021.00,"Elementary School Teachers, Except Special Education"
secondary-education,Secondary Education,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
special-education,Special Education,25-2056.00,"Special Education Teachers, Elementary School"
early-childhood-education,Early Childhood Education,25-2011.00 / 25-2012.00,"Preschool Teachers, Except Special Education + Kindergarten Teachers, Except Special Education"
physical-education,Physical Education,25-2059.01,Adapted Physical Education Specialists
criminal-justice,Criminal Justice,33-3051.00 / 21-1092.00,Police and Sheriff's Patrol Officers + Probation Officers and Correctional Treatment Specialists
social-work,Social Work,21-1022.00 / 21-1021.00,"Healthcare Social Workers + Child, Family, and School Social Workers"
public-administration,Public Administration,11-9151.00,Social and Community Service Managers
urban-and-regional-planning,Urban & Regional Planning,19-3051.00,Urban and Regional Planners
fire-science,Fire Science,33-2011.00,Firefighters
homeland-security,Homeland Security,33-3021.06,Intelligence Analysts
agricultural-science,Agricultural Science,19-1013.00,Soil and Plant Scientists
animal-science,Animal Science,19-1011.00,Animal Scientists
environmental-science,Environmental Science,19-2041.00,"Environmental Scientists and Specialists, Including Health"
sport-management,Sport Management,11-9072.00,"Entertainment and Recreation Managers, Except Gambling"
recreation-and-leisure-studies,Recreation & Leisure Studies,29-1125.00,Recreational Therapists
fitness-and-wellness,Fitness & Wellness,39-9031.00,Exercise Trainers and Group Fitness Instructors
family-and-consumer-sciences,Family & Consumer Sciences,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
theology-and-divinity,Theology & Divinity,21-2011.00,Clergy
